tax_id	species	genus	family	order	class	phylum	superkingdom	barcode75	barcode31	barcode40	barcode18	barcode45	barcode21	barcode86	barcode94	barcode79	barcode84	barcode34	barcode58	barcode29	barcode52	barcode33	barcode35	barcode02	barcode82	barcode87	barcode05	barcode55	barcode25	barcode68	barcode54	barcode24	barcode03	barcode14	barcode56	barcode28	barcode59	barcode96	barcode13	barcode76	barcode19	barcode48	barcode74	barcode72	barcode16	barcode65	barcode50	barcode46	barcode77	barcode44	barcode70	barcode88	barcode90	barcode17	barcode95	barcode63	barcode64	barcode20	barcode41	barcode22	barcode30	barcode43	barcode60	barcode23	barcode92	barcode80	barcode93	barcode81	barcode01	barcode38	barcode71	barcode85	barcode61	barcode78	barcode15	barcode04	barcode62	barcode08	barcode83	barcode51	barcode91	barcode66	barcode09	barcode67	barcode10	barcode47	barcode27	barcode12	barcode69	barcode42	barcode37	barcode53	barcode39	barcode07	barcode49	barcode36	barcode32	barcode73	barcode89	barcode06	barcode26	barcode57	barcode11
11848								65.09854426640209	85.1489994848907	78.58538733059203	65.10769830312641	41.28634282988329	37.15750174784795	50.62392899433623		31.52299260593261	25.436077432200232	57.990994459197296	41.28511271588242	205.33470278499405	62.19649748368087	102.21959032946928	84.68064925161767	54.6571475602807	13.486765659741542	54.46247240618101	100.2450726924204	29.72045744034125	73.02059174469103	21.926740460238975	26.239668830982176	280.00788212866235	58.13046137925564	64.39589069043052	64.43697366825837	94.7744414867142	26.41654014930524		37.6236022123594	17.420168067019507	35.07638240825279	113.53675141362945	42.7443582200428	51.218125139446926	22.44442217725293	31.248032312444177	47.655582232881024	51.38222984377418	69.559345136273	61.9935715659577	35.86450769900387	49.07122918847833		24.288413215078133		19.89728762219469	17.560356346990663	71.16955500453572	56.19102979064172	46.36929547352546	103.73329590719828	128.80719205879825	51.726686903910526	244.05474238607152		58.93417695924151	1.263157894736842	62.62440751835084	63.654509099477885	243.93529043455945	231.38168278489908	68.91368725639711	40.64193605763005	92.2953635458017	33.16640253456517	151.57638956162108	40.57430179472066	26.546714899244503	35.896628229896244	52.69382986608379		30.220356550580437	79.90371843204255	46.15531091313147	16.2550331606104	19.780041953850763	136.3533679194761	14.665163828242065		55.29588365526474	89.37051035951377	67.82426871101237	79.07579899033566	58.25003861079632	74.29899768851304	31.40568451640092	88.64562992285164	73.69429890343018	33.111458367455185	60.93841456206049	100.2782568066125	19.56582447419762	71.07216282995886
1185											29.95929086245604		16.436728498097366														35.426520481121365						15.294501141211022	12.268192822959636	23.47982818292588				21.452410735050396			65.78193666362937			20.52020675773297													11.35496078791762					12.170983733712871	19.887893926212712										11.417974667802175	21.13414709492072								37.52183668177693		37.612617857410456									29.36752904097885						26.42015737721607			29.79094069256024
11857									11.375840552492884		132.25306821441217		37.9869127685326	24.613010323266018						24.254144808520213		11.241850798567038		21.34431023079333		15.243702705684262	98.45184502106108		13.462269553889548	12.529565977279349		58.87247199859418	75.81497027534776	39.8641391672028		12.36318531385845			36.6067171038634	19.4695996045477	34.03718928159452	38.867478823581074			46.92960248723074	12.594403694636808			26.62153777007252		10.246913580246916			35.93736078295912				48.19584599554396	25.54529642035132	37.5407601367755	24.46103694213877	24.551383330876757		62.79760649108908		27.8990727096795				51.83001534384738	85.5987636747245			20.740526467971385	53.98470240538049	169.47654820876704		53.09592567459836					90.37022458373004		105.70539394769705		23.450738078021278	29.88173273395995		28.273600527321538	14.548676984590465		25.701513439537838	47.01495428350031			27.69659863945578			87.37952795773417			134.0176696334966
11875																											10.100382834757834							14.93286582305032																		10.222975691052238												16.21620961222278						21.455448888144065	16.096875660487612																										13.473251268556892						
1203											15.342472159334877																																																																																												
12126																																																																							19.08708723227606																																
12191																												13.354750368245984																																											13.152775504959818																																
12288																								14.136528794385455			11.727226710629685															11.251372122378902																													25.077087287688347			15.45033221943958		11.903170075965653		16.13242250635239							32.689914969178645									15.937234570209082						25.445340792394763			10.47064821233561
12361								11.451654294021296		20.03657145221344	104.99923262381718		43.1122814654868					14.045986276091812		36.63710176288457		11.513003578347732		186.798403398437			73.13238823222042	16.312526012451116	29.94618496980111			54.74528352810622	77.29351402673579	90.52559024903395		13.506672718960656			85.8794349646051		22.03962962323211	60.45943350546964		12.505462121069453	30.48829863931215		11.065409098964352	16.619939261301237			13.40926918072554	14.61972036328276		15.796209752290704				91.67143529565246	12.77286361136616	94.7100389837222	34.614724822180925	25.27057335424396	17.72039484985013	44.58603260516653					76.00142395559932	52.60438153519956	62.23429741862926	14.838711177741684		29.456299072657	92.34066790625724	142.11397157319772		132.76765118893834					130.6966537169783	17.708591832979312	115.21398194094208	19.261094278277834	21.86368892829892	35.590792706073884		13.304190237724724	20.68830546927869		18.48029673903342	205.15677151261477			20.392365218179307			139.14740625751838	12.547706792157417		115.8023638775525
12362																				24.06533961997396																																												16.205834805479704						11.180170991450428																	14.274374526156178																
12394											42.74046151961237													18.47250741712471			55.4501693655816					13.640756370433476	27.77644626318349	58.63675524446625	14.600348204143035				25.4635286765273			11.930657632091068			62.57566041447502																11.147254258679297			10.279823958905656					25.880636496089952	20.95709433851446	21.572509521927923				13.92179209459745	26.64978638629696		44.2311717756439					46.06206735996195		50.52728861568242			105.91856582101958						21.032757928171108			13.173508667546852			34.34482888350292			37.9097583130714
1242											13.225261410788384																																																																																												
12421																																13.139525355753443																																																					15.259098281998684																		26.29628628667324
